# fitreso_scan summary
# mov_pdb : temperature/4kjj.pdb
# ref_pdb : temperature/4kjk.pdb
# mov_mtz : temperature/scan_fitreso/refine_mov/4kjj_refined.mtz
# ref_mtz : temperature/scan_fitreso/refine_ref/4kjk_refined.mtz
# scan_dir: temperature/scan_fitreso
# sign    : diff = bent − ref  (+peak ⇒ density in bent absent from ref)
# Rbent   : Rfac after F-space (k+B) scaling of bent → ref
# Rbend   : Rfac of bent vs hkl00 bent (how much the PSDVF moved density)
# k, B    : F-space scale + isotropic B (Å²) used for Rbent

  label    RMSD  active   Rbent   Rbend       k    B(Å²)     peak                  atom    dist   t(s)
------------------------------------------------------------------------------------------------------
  hkl00   0.361       0   40.0%    0.0%   0.914    +6.55   -15.31σ         A/202CA/CA(r)   0.24Å     0s
  hkl01   0.261       2   34.2%   22.6%   0.915    +5.95   -15.03σ         A/202CA/CA(r)   0.24Å     0s
  hkl02   0.256       3   33.8%   24.5%   0.915    +5.93   -14.83σ         A/202CA/CA(r)   0.24Å     0s
  hkl03   0.252       4   33.8%   24.8%   0.915    +5.92   -14.57σ         A/202CA/CA(r)   0.24Å     0s
  hkl04   0.266       5   34.5%   25.1%   0.916    +5.98   -14.14σ         A/202CA/CA(r)   0.24Å     0s
  hkl05   0.237       7   33.0%   25.8%   0.916    +5.84   -15.24σ         A/607HOH/O(m)   0.43Å     0s
  hkl06   0.236       8   32.7%   26.5%   0.916    +5.80   -14.82σ         A/202CA/CA(r)   0.24Å     0s
  hkl07   0.219      10   31.6%   26.0%   0.917    +5.72   -15.46σ         A/607HOH/O(m)   0.43Å     0s
  hkl08   0.219      11   31.6%   26.2%   0.918    +5.73   -16.38σ         A/607HOH/O(m)   0.43Å     1s
  hkl09   0.214      13   31.6%   27.0%   0.918    +5.72   -14.97σ         A/607HOH/O(m)   0.43Å     1s
  hkl10   0.211      15   31.5%   26.6%   0.918    +5.71   -15.25σ         A/607HOH/O(m)   0.43Å     1s
   fr20   0.184      40   30.9%   27.7%   0.920    +5.68   -15.24σ         A/202CA/CA(r)   0.24Å     0s
   fr15   0.154      93   31.6%   29.4%   0.920    +5.70   +16.30σ         A/457HOH/O(r)   0.37Å     1s
   fr12   0.157     101   32.1%   30.0%   0.920    +5.73   +15.89σ         A/457HOH/O(r)   0.37Å     1s
   fr10   0.105     301   33.2%   32.7%   0.920    +5.80   -14.49σ         A/202CA/CA(r)   0.24Å     7s
    fr8   0.072     601   36.7%   37.3%   0.921    +6.07   -15.86σ        A/204NAP/PN(r)   0.66Å    41s
    fr7   0.058     901   39.2%   40.3%   0.909    +6.05   -16.31σ        A/204NAP/PN(r)   0.38Å   117s
    fr6   0.059     901   39.4%   40.4%   0.911    +6.08   -15.46σ        A/204NAP/PN(r)   0.38Å   135s
    fr5   0.059     901   39.4%   40.4%   0.911    +6.08   -15.46σ        A/204NAP/PN(r)   0.38Å   109s
